I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Gamma Microscopii,,Microscopium,315.322752,-32.25776594,6.104,5.529,4.654,3.15,2.713,2.596,0.575,0.875,0.437,0.117,-1.73,0.41,17.5,0.36,70.2247191,1.282192905,G8III,2.5,,10,,64,,5050,,$\gamma$
Alpha Microscopii,,Microscopium,312.4919865,-33.77972151,6.609,5.879,4.89,2.849,2.325,2.267,0.73,0.989,0.524,0.058,18.426,-19.546,-14.5,0.09,121.633785,9.132816245,G8III,3.13,0.18,16.4,1.6,160,,4923,,$\alpha$
Theta2 Microscopii,,Microscopium,321.1034082,-41.00669537,5.515,5.725,5.775,5.843,5.909,5.873,-0.21,-0.05,-0.066,0.036,24.64,-0.25,8,2,119.760479,10.03980064,A0III,,,,,78.22,,10378,,$\theta^2$
Theta1 Microscopii,,Microscopium,320.1901097,-40.80954463,4.77,4.84,4.82,4.73,4.7,4.71,-0.07,0.02,0.03,-0.01,75.48,8.657,2.3,2,54.7411292,1.592388578,A7V,2.28,0.311126984,2.35,0.34,37.1,10.74802307,9240,480,$\theta^1$
Eta Microscopii,,Microscopium,316.6063313,-41.38596679,8.358,6.858,5.505,3.274,2.596,2.461,1.5,1.353,0.678,0.135,28.76,-11.548,22.29,0.13,280.4498415,9.037127855,K3III,,,45.05,4.681046891,735,28,4487,233.3452378,$\eta$
Zeta Microscopii,,Microscopium,315.7414655,-38.63144725,,5.715,5.305,4.43,4.46,4.274,,0.41,-0.03,0.186,-28.541,-108.968,4.6,2,35.89826432,0.280933413,F5V,1.4,,,,7.5,,6627,225,$\zeta$
Iota Microscopii,,Microscopium,312.1214491,-43.98851026,5.48,5.44,5.1,4.374,4.094,4.2,0.04,0.34,0.28,-0.106,178.881,-112.407,-14.35,0.69,37.16753639,0.246170071,F2V,1.42,,2.4,,12.65,,6997,238,$\iota$
Nu Microscopii,,Microscopium,308.479468,-44.51604618,7.126,6.117,5.118,3.411,2.862,2.785,1.009,0.999,0.549,0.077,11.727,-35.224,8.7,2,77.23200494,0.644792998,K0III,2.46,,10.72,0.296984848,59.5,0.6,4897,69.29646456,$\nu$
Alpha Monocerotis,,Monoceros,115.3118024,-9.551130856,5.83,4.95,3.93,2.214,1.73,1.614,0.88,1.02,0.484,0.116,-74.61,-19.59,11.161,0.0002,45.31037608,0.369545432,G9.5III,2.02,0.29,10.1,0.5,,,4879,,$\alpha$
Zeta Monocerotis,,Monoceros,122.1485276,-2.983787794,6.02,5.3,4.33,2.8,2.41,2.32,0.72,0.97,0.39,0.09,-18.81,-4.5,31.2,0.18,324.6753247,28.46179794,G2Ib,6.2,,,,2207,,5289,,$\zeta$
Delta Monocerotis,,Monoceros,107.9660866,-0.492769674,4.18,4.14,4.15,4.038,3.943,3.898,0.04,-0.01,0.095,0.045,0.79,4.52,15,4.1,117.7856302,2.358487294,A0IV,2.425,0.572756493,,,350,,9462,,$\delta$
Beta Monocerotis A,,Monoceros,97.20445713,-7.033058361,3.87,4.5,4.6,,,4.03,-0.63,-0.1,,-4.03,-5.015,-2.857,20,5,191.7435239,9.334780494,B4V,8.7,,,,3200,,18070,,$\beta$
Gamma Monocerotis,,Monoceros,93.71389027,-6.274774448,6.69,5.27,3.96,1.84,1.17,1.04,1.42,1.31,0.67,0.13,-4.69,-19.3,-4.8,0.7,152.6717557,4.428646349,K1III,,,,,1021,,4375,,$\gamma$
18 Monocerotis,,Monoceros,101.965198,2.412177825,6.62,5.58,4.47,2.63,2.007,1.98,1.04,1.11,0.623,0.027,-16.898,-16.229,11.29,0.25,123.5376234,3.639878337,K0III,,,27.325,1.675843071,311.2,10.5,4750,,18
Epsilon Monocerotis A,,Monoceros,95.94204822,4.592857425,4.723,4.583,4.398,3.87,3.716,3.92,0.14,0.185,0.154,-0.204,-20.767,13.16,13.1,0.8,41.18073401,0.733456359,A8V,2.04,,2.5,,25,,7923,,$\epsilon$
13 Monocerotis,,Monoceros,98.22595173,7.33296342,4.3,4.5,4.5,4.35,4.41,4.301,-0.2,0,-0.06,0.109,-2.26,-3.452,11.8,0.4,390.2439024,61.79940512,A0I,12,,34,,,,10000,,13
15 Monocerotis Aa,,Monoceros,100.2444151,9.895756361,3.36,4.4,4.64,5.202,5.322,5.34,-1.04,-0.24,-0.12,-0.018,-2.61,-1.61,22,0.3,281.6901408,39.67466772,O7V,29.1,,9.9,,214000,,38500,,15
Lambda Muscae,,Musca,176.4017465,-66.72876221,3.96,3.81,3.65,3.35,3.28,3.25,0.15,0.16,0.07,0.03,-100.35,33.49,15,0.3,38.98635478,0.516778192,A7V,1.88,,,,40,,8164,278,$\lambda$
Epsilon Muscae,,Musca,184.3928215,-67.96073573,7.27,5.6,4.02,-0.21,-1.2,-1.42,1.67,1.58,0.99,0.22,-231.04,-26.39,7.1,0.7,92.42144177,1.452092893,M4III,1.75,0.25,65,,2050,353.5533906,,,$\epsilon$
Alpha Muscae,,Musca,189.2959079,-69.13556479,1.62,2.484,2.649,3.178,3.166,3.25,-0.864,-0.165,0.012,-0.084,-40.2,-12.8,13,4,96.71179884,1.028848924,B2IV,8.8,0.1,4.8,,4000,,21400,,$\alpha$
Beta Muscae,,Musca,191.5700171,-68.10811567,2.13,2.896,3.094,3.459,3.494,3.645,-0.766,-0.198,-0.035,-0.151,-41.97,-8.89,42,7.4,104.7120419,4.495490803,B2V,7.35,,,,1892,,,,$\beta$
Delta Muscae,,Musca,195.5677697,-71.54885423,6.06,4.8,3.62,1.649,1.079,0.946,1.26,1.18,0.57,0.133,264.17,-22.75,36.5,0.9,27.87068004,0.341780915,K2III,,,,,42,,,,$\delta$
Gamma Muscae,,Musca,188.1167226,-72.13298881,3.12,3.73,3.88,4.2,4.25,4.254,-0.61,-0.15,-0.05,-0.004,-51.34,-5.4,2.5,7.4,99.60159363,1.289662069,B5V,5.09,,4.17,,790,,15490,,$\gamma$
Delta Normae,,Norma,241.6227644,-45.17324055,5.111,4.951,4.713,4.52,4.285,4.27,0.16,0.238,0.235,0.015,-26.335,32.552,-15.5,2,35.15173245,0.279749868,F0III,1.75,,2,,13.4,,7691,,$\delta$
Epsilon Normae,,Norma,246.7959838,-47.55478404,3.899,4.439,4.521,4.785,4.866,4.746,-0.54,-0.082,-0.081,0.12,-13.68,-19.89,-12.5,2.7,162.601626,7.403000859,B2V,6.4,0.2,,,474,,10888,,$\epsilon$
Eta Normae,,Norma,240.803741,-49.22969863,6.209,5.569,4.643,3.098,2.672,2.552,0.64,0.926,0.426,0.12,42.05,9.14,-0.3,2,67.29475101,1.132145878,G8III,2.78,,11.14,0.22627417,71.9,3.1,5034.5,47.37615434,$\eta$
Gamma2 Normae,,Norma,244.9600928,-50.15550619,6.27,5.1,4.02,2.249,1.755,1.628,1.17,1.08,0.494,0.127,-159.71,-52.25,-28.9,0.7,39.4788788,0.311716374,K0III,2.16,,,,51,,4699,,$\gamma^2$
Gamma1 Normae,,Norma,244.2538921,-50.06812036,6.37,5.88,5.09,3.43,3.15,3.03,0.49,0.79,0.28,0.12,-1.69,-3.39,-18.15,0.14,450.4504505,54.78451424,F9Ia,6.6,0.4,160,,2039.91,,6068,,$\gamma^1$
Nu Octantis,,Octans,325.3689251,-77.39000876,5.635,4.745,3.728,2.014,1.536,1.46,0.89,1.017,0.478,0.076,68.656,-250.044,34.4,0.9,19.41099283,0.245853284,K1III,1.325,0.403050865,5.81,0.12,17.53,,4860,40,$\nu$
Beta Octantis,,Octans,341.5146291,-81.38161444,4.443,4.333,4.128,3.768,3.577,3.715,0.11,0.205,0.191,-0.138,-54.49,1.16,19,0.6,45.76659039,0.900669742,A9IV,2.27,,3.2,,42,,8006,,$\beta$
Delta Octantis,,Octans,216.7301352,-83.66788523,7.065,5.615,4.304,2.027,1.342,1.205,1.45,1.311,0.685,0.137,-96.12,-13.27,4.6,0.06,91.65902841,1.176192849,K2III,1.06,,24.61,,271,,4311,,$\delta$
Alpha Ophiuchi A,Rasalhague,Ophiuchus,263.7336227,12.56003739,2.32,2.22,2.07,1.74,1.64,1.66,0.1,0.15,0.1,-0.02,-108.07,-221.57,11.7,1,14.89646954,0.235219093,A5IV,2.33,0.424264069,2.6,,25.35,0.353553391,7965,120.2081528,$\alpha$
Beta Ophiuchi,Cebalrai,Ophiuchus,265.868136,4.567304301,5.15,3.93,2.75,0.886,0.354,0.219,1.22,1.18,0.532,0.135,-41.45,159.34,-12.12,0.0008,25.09410289,0.10705138,K2III,1.13,,12.42,0.13,63.4,3.2,4467,,$\beta$
Gamma Ophiuchi,,Ophiuchus,266.9731656,2.707277774,3.83,3.8,3.75,3.65,3.64,3.65,0.03,0.05,0.01,-0.01,-24.64,-74.42,-7.6,0.3,31.51591554,0.208583116,A1V,2.9,,1.8,,29,,9506,,$\gamma$
Nu Ophiuchi,,Ophiuchus,269.756633,-9.773633292,5.2,4.33,3.34,1.71,1.25,1.12,0.87,0.99,0.46,0.13,-9.48,-116.69,13.19,0.04,46.21072089,0.555211988,G9III,3.04,,14,,123,,4928,,$\nu$
Eta Ophiuchi A,Sabik,Ophiuchus,257.5945287,-15.72490664,2.56,2.47,2.42,2.31,2.29,2.27,0.09,0.05,0.02,0.02,40.13,99.17,-2.4,0.3,27.09292875,0.58722143,A2IV,2.966,,,,,,,,$\eta$
Theta Ophiuchi,,Ophiuchus,260.5024139,-24.99954638,2.18,3.03,3.26,3.75,3.656,3.831,-0.85,-0.23,0.094,-0.175,-7.37,-23.94,-2.1,3.6,133.6898396,3.038405445,B2IV,8.8,0.2,6.3,,5000,,22260,280,$\theta$
d Ophiuchi,,Ophiuchus,261.8386488,-29.86703507,4.782,4.672,4.269,3.413,3.206,3.203,0.11,0.403,0.207,0.003,17.08,-138.02,38,2,34.21142662,0.234084342,F5III,1.71,,3.2,,19.07,,6750,,d
Kappa Ophiuchi,,Ophiuchus,254.4170744,9.375031277,5.52,4.36,3.2,1.315,0.779,0.656,1.16,1.16,0.536,0.123,-292.13,-10.38,-55.821,0.0008,28.04262479,0.157277761,K2III,1.19,0.14,11,,46,,4529,,$\kappa$
Lambda Ophiuchi A,Marfik,Ophiuchus,247.7284298,1.983922472,3.95,3.94,3.9,3.913,3.794,3.795,0.01,0.04,0.119,-0.001,-30.98,-73.42,-16,1.5,53.07855626,1.549533224,A1IV,2.62,0.04,,,76.15,7.000357134,8830.5,143.5426766,$\lambda$
Delta Ophiuchi,Yed Prior,Ophiuchus,243.5864105,-3.694322556,6.3,4.34,2.75,-0.24,-0.98,-1.26,1.96,1.59,0.74,0.28,-47.54,-142.73,-19.27,0.03,52.46589717,0.440427258,M0.5III,1.5,,59,,,,3679,,$\delta$
Epsilon Ophiuchi,Yed Posterior,Ophiuchus,244.5803739,-4.692509574,4.95,4.21,3.23,1.62,1.122,1.01,0.74,0.98,0.498,0.112,83.4,40.58,-9.342,0.0009,32.63707572,0.213035742,G9.5III,1.85,0.05,10.39,0.07,54,,4918,28,$\epsilon$
Upsilon Ophiuchi A,,Ophiuchus,246.95078,-8.371729018,4.86,4.8,4.63,4.27,4.16,4.17,0.06,0.17,0.11,-0.01,-67.49,-11.75,-30.6,2,40.95004095,1.525984327,A5V,1.94,,1.9,,16.56,,8364,,$\upsilon$
Zeta Ophiuchi,,Ophiuchus,249.2897461,-10.56709152,1.73,2.58,2.56,2.59,2.59,2.62,-0.85,0.02,0,-0.03,15.26,24.79,-9,5.5,112.2334456,2.519269261,O9.2IV,20.2,,8.5,,74100,,34000,,$\zeta$
Phi Ophiuchi,,Ophiuchus,247.7848638,-16.61273073,5.9,5.19,4.27,2.8,2.33,2.26,0.71,0.92,0.47,0.07,-45.35,-37.34,-33.64,0.16,74.68259895,1.338597741,G8III,3.16,0.04,13.4,0.31,111.8,4.3,5131,32,$\phi$
Chi Ophiuchi,,Ophiuchus,246.7559791,-18.45624827,3.95,4.71,4.43,3.46,3.26,3.02,-0.76,0.28,0.2,0.24,-5.41,-21.12,-19,2.1,161.0305958,5.964096141,B2V,10.1,0.7,12.645,0.403050865,245,10,6424.5,101.1162697,$\chi$
Psi Ophiuchi,,Ophiuchus,246.0257693,-20.03732734,6.37,5.53,4.5,2.773,2.298,2.163,0.84,1.03,0.475,0.135,-20.29,-47.65,-1.18,0.16,61.16207951,0.935199993,K0II,1.61,,11.45,,65.9,,4864,,$\psi$
Rho Ophiuchi,,Ophiuchus,246.3963236,-23.44717083,4.3,4.85,4.63,3.74,3.56,3.51,-0.55,0.22,0.18,0.05,-5.53,-21.74,-11.4,3,110.7419712,11.03740577,B2IV,,,,,,,,,$\rho$
Alpha Orionis,Betelgeuse,Orion,88.792939,7.407064,4.38,2.27,0.42,-3,-3.73,-4.05,2.11,1.85,0.73,0.32,27.54,11.3,21.91,0.51,152.6717557,19.34619195,M1Ia,17.75,1.767766953,892.5,181.7264428,120000,42426.40687,3600,200,$\alpha$
Mu Orionis Aa,,Orion,90.5958195,9.647272778,4.4,4.29,4.13,3.73,3.6,3.64,0.11,0.16,0.13,-0.04,10.43,-39.09,0,0.03,47.50593824,1.534633634,A1V,2.38,,2.85,,32.2,,8300,,$\mu$
Xi Orionis A,,Orion,92.98498721,14.20876543,3.65,4.31,4.48,4.81,4.921,4.896,-0.66,-0.17,-0.111,0.025,0.29,-20.12,19.3,7.4,186.2197393,7.975891999,B3IV,6.7,0.1,,,1390,,15476,,$\xi$
Chi2 Orionis,,Orion,90.97993683,20.138456,4.24,4.91,4.63,4.04,4.039,3.84,-0.67,0.28,0.001,0.199,0.555,-3.35,16.8,0.9,552.4861878,85.46747657,B2Ia,42.3,1,61.9,,446000,,19000,,$\chi^2$
Chi1 Orionis,,Orion,88.59576246,20.27617279,5.08,5,4.4,3.43,3.19,2.99,0.08,0.6,0.24,0.2,-162.54,-99.51,-15.48,0.18,8.663259118,0.020264056,G0V,,,0.979,0.009,1.081,0.018,5955,6.1,$\chi^1$
Nu Orionis A,,Orion,91.89302448,14.76847392,3.6,4.24,4.397,5.004,4.822,4.847,-0.64,-0.157,0.182,-0.025,6.78,-20.23,24.1,0.9,158.2278481,8.261897132,B3V,6.7,0.1,4.3,,1965,,17880,,$\nu$
Lambda Orionis A,Meissa,Orion,83.78446892,9.934154265,2.17,3.48,3.47,3.85,3.99,4.03,-1.31,0.01,-0.14,-0.04,0.032,-0.99,34,2,271.0688244,40.06772111,O8III,27.9,3.3,13.4,,165000,,35000,,$\lambda$
Lambda Orionis B,,Orion,83.78533534,9.935031681,4.88,5.65,5.61,,,,-0.77,0.04,,,1.731,-2.926,35.7,2,344.7800303,28.25617612,B0.5V,10.3,0.7,4.2,0.8,6300,,25400,500,
Gamma Orionis,Bellatrix,Orion,81.28276354,6.349703278,0.54,1.42,1.64,2.17,2.24,2.32,-0.88,-0.22,-0.07,-0.08,-8.11,-12.88,18.2,0.9,77.3993808,3.115145357,B2V,7.7,,5.75,,9211,,21800,,$\gamma$
Phi1 Orionis,,Orion,83.70515849,9.489579948,3.29,4.26,4.41,4.807,4.853,4.858,-0.97,-0.15,-0.046,-0.005,0.27,-2.26,33.2,0.9,333.3333333,27.77777778,B0III,15.5,1.1,6.3,1,28840,,30000,300,$\phi^1$
Phi2 Orionis,,Orion,84.22661744,9.29066932,5.7,5.04,4.09,2.34,1.77,1.68,0.66,0.95,0.57,0.09,97.24,-305.57,99.083,0.0015,36.02305476,0.350368328,G9.5III,1.07,0.04,7.72,0.27,31.6,,4856,11,$\phi^2$
11 Orionis,,Orion,76.12978818,15.40132695,4.509,4.609,4.661,,,4.738,-0.1,-0.052,,,17.8,-31.15,16.8,2,111.9820829,3.009596852,A1V,,,3.6,,220,,9520,,11
Omicron2 Orionis,,Orion,74.09281715,13.51447033,6.31,5.21,4.06,2.12,1.43,1.36,1.1,1.15,0.69,0.07,-74.88,-44.33,2.54,0.15,57.01254276,0.682590307,K2III,,,15,,79,,4498,,$o^2$
Pi1 Orionis,,Orion,73.72386986,10.150832,4.81,4.723,4.648,4.846,4.517,4.416,0.087,0.075,0.329,0.101,41.49,-128.73,11.1,1.2,35.66333809,0.317968421,A0V,1.97,0.07,1.67,,16.6,,8611,,$\pi^1$
Pi2 Orionis,,Orion,72.65301243,8.90018037,4.39,4.36,4.35,4.26,4.208,4.166,0.03,0.01,0.052,0.042,1.41,-29.91,24.4,2.6,68.82312457,1.799916541,A1V,,,2.7,,70,,9457,128,$\pi^2$
Pi3 Orionis,Tabit,Orion,72.46004544,6.961274526,3.62,3.63,3.19,2.36,2.15,2.05,-0.01,0.44,0.21,0.1,464.06,11.21,22.411,0.52,8.068420203,0.011066899,F6V,1.236,,1.323,0.004,2.822,0.03,6516,19,$\pi^3$
Pi4 Orionis A,,Orion,72.80151967,5.605103418,2.7,3.5,3.68,4.03,4.09,4.13,-0.8,-0.18,-0.06,-0.04,-2.21,0.85,23.3,0.9,322.5806452,18.73048907,B2III,10.95,0.97,9.1,,19726,,21874,126,$\pi^4$
Pi5 Orionis A,,Orion,73.56291044,2.440670554,2.72,3.54,3.73,4.189,4.353,4.16,-0.82,-0.19,-0.164,0.193,0.55,0.61,24.2,0.7,262.9779624,23.70024397,B2III,12.5,0.6,,,11262,,14496,,$\pi^5$
Pi6 Orionis,,Orion,74.63709481,1.714021804,7.359,5.853,4.459,2.158,1.504,1.342,1.506,1.394,0.654,0.162,-1.083,-8.381,14.73,0.17,306.8331748,19.43185765,K2IIb,4.15,0.68,87.73,9.79,2185.6,418.7,4217,121,$\pi^6$
Delta Orionis Aa1,Mintaka,Orion,83.00166704,-0.299095111,0.96,2.02,2.41,2.72,2.84,2.88,-1.06,-0.39,-0.12,-0.04,0.64,-0.69,18.5,0.5,212.3142251,26.14485149,O9.5II,24,,16.5,,190000,,29500,500,$\delta$
Delta Orionis B,,Orion,82.9947623,-0.305207283,,,14,12.41,,11.223,,,,,-3.535,-2.09,,,289.5948568,3.111398218,,,,0.77,,0.431,,5324,,
Delta Orionis C,,Orion,83.00169288,-0.284540508,5.97,6.67,6.83,7.165,7.234,7.282,-0.7,-0.16,-0.069,-0.048,1.635,-1.762,16.43,22.36,388.6967,11.58822905,B2V,9,,5.7,,3300,,18400,,
Epsilon Orionis,Alnilam,Orion,84.05338896,-1.201919139,0.48,1.51,1.69,2.07,2.07,2.16,-1.03,-0.18,0,-0.09,1.44,-0.78,27.3,0.8,606.0606061,165.2892562,B0Ia,42,2.828427125,32.4,,537000,,27500,100,$\epsilon$
Zeta Orionis Aa,Alnitak,Orion,85.18969442,-1.942573583,0.5,1.56,1.77,2.25,2.35,2.4,-1.06,-0.21,-0.1,-0.05,3.19,2.03,18.5,1.3,225.7336343,32.61163114,O9.7Ib,33,10,20,3.2,250000,,29500,1000,$\zeta$
Kappa Orionis,Saiph,Orion,86.93912017,-9.669604919,0.87,1.88,2.06,2.47,2.686,2.6,-1.01,-0.18,-0.216,0.086,1.46,-1.28,20.5,2,198.4126984,8.660871756,B0.5Ia,15.5,1.25,22.2,,56881,,26500,,$\kappa$
Eta Orionis Aa,,Orion,81.11923633,-2.397147528,2.25,3.18,3.35,3.76,3.84,3.9,-0.93,-0.17,-0.08,-0.06,-0.71,-3.46,19.8,0.9,299.4011976,95.91595253,B1V,11,0.5,6.3,0.6,,,26600,,$\eta$
Beta Orionis A,Rigel,Orion,78.63446708,-8.201638361,-0.56,0.1,0.13,0.22,0.2,0.18,-0.66,-0.03,0.02,0.02,1.31,0.5,17.8,0.4,264.5502646,23.79552644,B8Ia,21,3,78.9,7.4,122000,32526.91193,12100,150,$\beta$
Alpha Pavonis A,Peacock,Pavo,306.4119044,-56.73508972,1.03,1.791,1.918,2.304,2.458,2.479,-0.761,-0.127,-0.154,-0.021,6.9,-86.02,2,0.9,54.8245614,1.562980917,B2IV,5.91,,4.83,,2200,,17711,,$\alpha$
Gamma Pavonis,,Pavo,321.6108535,-65.36619847,4.57,4.7,4.22,3.27,2.98,2.91,-0.13,0.48,0.29,0.07,80.56,800.6,-30.7,0.15,9.26183199,0.016298491,F9V,1.21,0.12,1.15,0.04,1.52,0.05,6112,,$\gamma$
Beta Pavonis,,Pavo,311.2395583,-66.2032141,3.697,3.577,3.408,2.934,2.794,2.799,0.12,0.169,0.14,-0.005,-42.67,9.94,3.7,0.5,47.30368969,0.313529012,A7III,2.51,,2.3,,66,,8184,278,$\beta$
Delta Pavonis,,Pavo,302.1817061,-66.18206758,4.78,4.32,3.56,2.45,2.11,2.04,0.46,0.76,0.34,0.07,1211.03,-1130.05,-21.543,0.0001,6.108362348,0.006343055,G8IV,0.991,,1.197,0.016,1.24,0.03,5571,48,$\delta$
Epsilon Pavonis,,Pavo,300.1481482,-72.91050549,3.877,3.927,3.94,3.798,3.762,3.8,-0.05,-0.013,0.036,-0.038,81.78,-132.16,-6.7,0.7,32.21649485,0.176443432,A0V,2.2,,1.74,,32,,10440,,$\epsilon$
Zeta Pavonis,,Pavo,280.758897,-71.42811291,6.158,5.138,4.003,2.092,1.504,1.39,1.02,1.135,0.588,0.114,0.81,-158.15,-16.3,0.7,66.97923644,0.80751926,K0III,,,19,,155,,,,$\zeta$
Kappa Pavonis,,Pavo,286.851546,-67.23349073,,5.08,4.4,3.343,2.906,2.716,,0.68,0.437,0.19,-8.957,15.091,37.8,0.7,192.3372827,11.44582922,G5Iab,,,22,4.242640687,565,,5800,777.8174593,$\kappa$
Lambda Pavonis,,Pavo,283.0543094,-62.18759232,3.19,4.048,4.207,4.417,4.318,4.391,-0.858,-0.159,0.099,-0.073,-1.86,-13.02,9,4.1,438.5964912,34.62603878,B2V,12.5,,9,1,8450,,20300,,$\lambda$
Xi Pavonis,,Pavo,275.8068588,-61.49387122,7.384,5.834,4.367,1.78,1.061,0.856,1.55,1.467,0.719,0.205,-5.985,-0.538,12.2,0.9,135.8695652,6.928240194,K4III,,,53.02,2.998132752,729,42,4069,190.9188309,$\xi$
Pi Pavonis,,Pavo,272.1450608,-63.66855295,4.74,4.57,4.328,3.978,3.804,3.804,0.17,0.242,0.174,0,18.02,-207.57,-15.6,2,39.85651654,0.270052125,F2III,2.15,,3.035,0.318198052,24.69,0.36,7402,395.9797975,$\pi$
Eta Pavonis,,Pavo,266.4332752,-64.72387205,5.939,4.769,3.581,1.573,0.911,0.762,1.17,1.188,0.662,0.149,-11.96,-56.57,-7.6,0.7,107.9913607,2.099184117,K2II,398,,35.29,9.008540392,469,20,4579,1296.833837,$\eta$
Gamma Pegasi,Algenib,Pegasus,3.308963462,15.18359354,1.75,2.61,2.84,3.36,3.43,3.49,-0.86,-0.23,-0.07,-0.06,1.98,-9.28,3.2,0.3,120.0480192,7.638109265,B2IV,8.9,0.1,4.8,0.39,5840,,21179,237,$\gamma$
Alpha Pegasi,Markab,Pegasus,346.1902227,15.20526714,2.38,2.44,2.48,2.51,2.52,2.51,-0.06,-0.04,-0.01,0.01,60.4,-41.3,-2.7,0.8,40.88307441,0.317570897,B9III,3.5,,4.62,0.29,165,,10100,100,$\alpha$
Zeta Pegasi,Homam,Pegasus,340.365503,10.83136331,3.1,3.33,3.41,3.51,3.53,3.56,-0.23,-0.08,-0.02,-0.03,77.22,-11.38,6.1,0.3,62.6566416,0.7459124,B8V,3.22,,4.03,0.22,224,,11190,55,$\zeta$
Theta Pegasi A,Biham,Pegasus,332.5499386,6.197863264,3.72,3.62,3.55,3.38,3.38,3.33,0.1,0.07,0,0.05,282.18,30.46,-7.9,2.4,28.29654782,0.680590426,A1V,2.09,0.16,2.6225,0.0829,23.7012,1.1418,7872,82,$\theta$
Epsilon Pegasi,Enif,Pegasus,326.0464839,9.875008653,5.61,3.91,2.39,0.07,-0.49,-0.76,1.7,1.52,0.56,0.27,26.92,0.44,3.39,0.06,211.4164905,7.598478516,K2Ib,7.26,0.268700577,210.5,0.5,9807,128.6934342,3964,1,$\epsilon$
Beta Pegasi,Scheat,Pegasus,345.9435728,28.08278711,6.05,4.09,2.42,-1.11,-2.129,-2.379,1.96,1.67,1.019,0.25,187.65,136.93,7.99,0.23,60.09615385,0.541732156,M2.5II,2.1,,95,,,,3689,,$\beta$
Mu Pegasi,Sadalbari,Pegasus,342.5008048,24.60158288,5.1,4.42,3.48,1.93,1.243,1.37,0.68,0.94,0.687,-0.127,144.7,-41.87,13.791,0.0005,32.53090436,0.285730129,G8III,2.7,,9.6,0.4,,,4950,,$\mu$
Lambda Pegasi,,Pegasus,341.6328244,23.56565448,5.93,5,3.93,2.25,1.462,1.65,0.93,1.07,0.788,-0.188,55.75,-10.15,-4.15,0.21,111.9820829,3.009596852,G8III,1.5,,28.5,,390,,4933,,$\lambda$
Iota Pegasi A,,Pegasus,331.7527586,25.34510448,4.19,4.2,3.77,2.95,2.729,2.5,-0.01,0.43,0.221,0.229,298.42,26.161,-5.5,0.7,11.79750294,0.050049515,F5V,1.33,,1.526,0.068,,,6580,,$\iota$
Kappa Pegasi A,,Pegasus,326.1613968,25.64503775,4.58,4.553,4.135,3.36,3.12,2.92,0.027,0.418,0.24,0.2,48.13,14.29,-0.8,0.2,34.22313484,0.866704989,F5V,1.549,,,,,,6579,,$\kappa$
Eta Pegasi A,Matar,Pegasus,340.7505155,30.22111863,4.38,3.81,2.95,1.42,1.079,0.89,0.57,0.86,0.341,0.189,24.32,3.706,4.17,0.35,72.86717771,2.842773539,G8II,3.51,0.13,24.46,1.640487732,330.8,35,4970,65,$\eta$
Pi1 Pegasi,,Pegasus,332.3067456,33.17235493,,6.562,5.582,4.119,3.55,3.169,,0.98,0.569,0.381,-48.117,-73.408,-6.98,0.9,97.93264193,1.090474228,G6III,2.48,,10.84,0.947523087,62.8,0.8,4941,216.374675,$\pi^1$
Pi2 Pegasi,,Pegasus,332.4968488,33.17822156,4.93,4.75,4.29,3.35,3.299,3.1,0.18,0.46,0.051,0.199,-12.87,-18.95,5.1,0.9,80.64516129,1.105619147,F5III,2.48,,8.5,0.8,102.9,2.6,6317.5,396.6869042,$\pi^2$
Omicron Persei Aa,,Perseus,56.07971683,32.28824803,3.13,3.91,3.91,3.75,3.82,3.78,-0.78,0,-0.07,0.04,7.607,-9.995,12.2,0.5,245.4168405,43.64224179,B1III,14,,9.6,,,,22700,,$o$
Zeta Persei,,Perseus,58.53301031,31.88363368,2.19,2.97,2.85,2.61,2.65,2.64,-0.78,0.12,-0.04,0.01,5.77,-9.92,20.6,0.8,230.4147465,10.08728153,B1Ib,14.5,1.9,26.5,0.5,47039,,20800,,$\zeta$
Xi Persei,Menkib,Perseus,59.74125955,35.79103145,3.19,4.08,4.06,3.41,3.06,3.953,-0.89,0.02,0.35,-0.893,3.62,1.74,65.4,0.8,381.6793893,0.51,O7.5III,31,7.071067812,14,,263000,,35000,,$\xi$
Epsilon Persei A,,Perseus,59.46346686,40.01021532,1.71,2.71,2.89,3.36,3.595,3.52,-1,-0.18,-0.235,0.075,14.06,-23.78,-1,2,195.6947162,8.808177052,B1.5III,13.5,2,7.66,,28330,,26500,,$\epsilon$
Delta Persei,,Perseus,55.73126773,47.78754851,2.38,2.89,3.01,3.24,3.14,3.34,-0.51,-0.12,0.1,-0.2,25.58,-43.06,4,3.7,158.2278481,11.7669444,B5III,7,0.3,10.5,,2860,,14890,,$\delta$
c Persei,,Perseus,62.16538399,47.71251193,3.45,4,4.03,3.978,3.899,3.79,-0.55,-0.03,0.079,0.109,21.73,-33.61,0.8,0.9,146.1988304,3.419855682,B3V,7.5,,,,600,,17490,,c
